name,price,brand,weight in grams,bearing size,response,material,designed in,made in,machined in,released,description,diameter mm,diameter in,width mm,width in,gap width mm,gap width in,bearing type,material group
Roppo,33.0,Shuriken,65.3,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,Hong Kong,,,2023-06-01,Stable and Powerful V-Shaped YoYo!,56.8,2.24,46.8,1.84,4.5,0.18,Size C,Aluminum
Da Vinci,100.0,yoyofriends,62.6,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7068 Aluminum w/ Stainless Steel Rings,China,China,,2023-06-01,Tomoki Toyama Signature YoYo!,55.89,2.2,44.64,1.76,4.5,0.18,Size C,Aluminum Bi-Metal
Brass Exia,70.0,MK1 YoYos,66.3,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7068 Aluminum w/ Brass Rings,USA,China,,2023-07-01,Inner Ring Bi-Metal YoYo!,55.6,2.19,47.3,1.86,4.5,0.18,Size C,Aluminum Bi-Metal
Titanium Koi,279.99,yoyofriends,65.0,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Titanium,China,China,,2023-06-01,Titanium Organic Shaped YoYo!,56.04,2.21,43.52,1.71,4.45,0.18,Size C,Titanium
Titanium Koi XL,379.99,yoyofriends,63.0,NSK,"""Slim Pad"" Size 19mm OD",Titanium,China,China,,2023-06-01,Oversized Organic Titanium YoYo!,63.11,2.48,48.11,1.89,4.39,0.17,Other,Titanium
Stainless Steel Koi,149.99,yoyofriends,64.65,Size D,"""Slim Pad"" Size 19mm OD",Stainless Steel,China,China,,2023-06-01,Stainless Steel Organic Shaped YoYo!,52.0,2.05,42.84,1.69,4.47,0.18,Size D,Stainless Steel
Full Metal Damascus,625.0,ENSO,64.1,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Titanium w/ EngravedDamascus Steel Rims,USA,China,,2023-07-01,High Performance Titanium x Damascus Steel Rim YoYo!,56.79,2.24,43.48,1.71,4.69,0.18,Size C,Titanium Bi-Metal
The Populist,120.0,Doctor Popular,65.0,Size C,19mm,7075 aluminum + Brass or Stainless Steel,,,,2023-01-01,Powerful 7075 Bi-Metal YoYo!,54.16,2.13,46.01,1.81,4.51,0.18,Size C,Aluminum Bi-Metal
Klondike,,Caribou Lodge,65.0,Size C (.250 x .500 x .187),Snow Tires,6061 Aluminum w/ Stainless Steel Rings,Canada,,,2023-07-01,Japanese focused competition design!,55.6,0.0,45.1,0.0,4.45,0.175,Size C,Aluminum Bi-Metal
Bullseye,34.99,YoYoFactory,66.3,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,USA,China,,2023-07-01,Hit the Bullseye,56.5,2.22,43.5,1.71,,,Size C,Aluminum
Plastic Peak - CLYW × LFVK,39.99,Luftverk,66.0,Size C (.250 x .500 x .187),Snow Tire Response,Injection Molded Polycarbonate & Machined,Canada,China,,2023-07-01,another chapter of the legendary Peak,59.0,2.32,47.6,1.85,4.5,0.18,Size C,Polycarbonate
Minitee,79.99,Caribou Lodge,66.02,Size C (.250 x .500 x .187),CLYW Snow Tires,,Canada,,China,,Signature Series of the AMAZING Riccardo Fraolini,43.98,1.73,50.13,1.97,4.15,0.16,Size C,
